Location_Id,LOCATION,LAT,LON,Cross Street
1,1900 S LONGWOOD AV,34.0375,-118.3506,
2,1000 S FLOWER ST,34.0444,-118.2628,
3,1400 W 37TH ST,34.021,-118.3002,
4,14000 RIVERSIDE DR,34.1576,-118.4387,
5,200 E AVENUE 28,34.082,-118.213,
6,2500 W 4TH ST,34.0642,-118.2771,
7,JAMES M WOOD,34.0536,-118.2788,ALVARADO
8,3200 S SAN PEDRO ST,34.017,-118.2643,
9,KENMORE ST,34.0953,-118.2974,FOUNTAIN
10,400 SOLANO AV,34.071,-118.2302,
11,FLORENCE,33.9747,-118.2587,WADSWORTH
12,4500 HUNTINGTON DR,34.0881,-118.1877,
13,6TH ST,34.0423,-118.2453,CROCKER
14,BESSEMER,34.1812,-118.4356,RANCHITO
15,1900 MIRAMAR ST,34.0632,-118.2693,
16,600 S BROADWAY,34.0467,-118.252,
17,AETNA,34.1803,-118.4204,ATOLL
18,1600 W COURT ST,34.0668,-118.2627,
19,VERMONT,34.0344,-118.2915,24TH
20,HOLLYWOOD,34.1016,-118.337,MC CADDEN
21,1400 BRETT PL,33.7553,-118.3056,
22,1600 W PACIFIC COAST HY,33.7926,-118.3043,
23,100 AVENUE 56,34.1089,-118.1942,
24,18600 HATTERAS ST,34.1774,-118.5387,
25,2900 S KERCKHOFF AV,33.7179,-118.2898,
26,300 E AVENUE 31,34.0809,-118.2132,
27,ROBERTSON BL,34.0375,-118.3886,GIBSON ST
28,81ST,33.9655,-118.3046,DENKER
29,700 S UNION AV,34.0531,-118.2738,
30,800 N FULLER AV,34.0853,-118.3499,
31,SEPULVEDA,34.1958,-118.4662,BASSETT
32,900 S ALVARADO ST,34.0529,-118.2819,
33,ORANGE,34.0981,-118.3577,SUNSET
34,JEFFERSON,34.0278,-118.3378,HARCOURT
35,G,33.7783,-118.2662,ISLAND
36,8800 W PICO BL,34.0548,-118.3837,
37,1300 WOODRUFF AV,34.0633,-118.4292,
38,200 S AVENUE 51,34.1038,-118.1987,
39,14TH ST,33.7315,-118.2879,PACIFIC AV
40,700 N AVENUE 50,34.1109,-118.2016,
41,1800 CONWAY PL,34.0366,-118.2325,
42,4TH,34.0427,-118.2237,CLARENCE
43,100 S SOTO ST,34.0424,-118.2107,
44,6100 DELPHI ST,34.1241,-118.1878,
45,700 N HILL PL,34.0618,-118.2424,
46,9TH,34.0416,-118.255,MAIN
47,SAN PEDRO,33.961,-118.2695,85TH ST
48,3700 S LA BREA AV,34.0199,-118.3556,
49,1600 W TEMPLE ST,34.0682,-118.2609,
50,100 E 82ND ST,33.9654,-118.2739,
51,13600 LEADWELL ST,34.2039,-118.4312,
52,200 E BLOOM ST,34.0639,-118.2295,
53,2700 N VERMONT AV,34.1179,-118.293,
54,2000 N VERMONT AV,34.1095,-118.2958,
55,8400 BEVERLY BL,34.0761,-118.3737,
56,1500 W SUNSET BL,34.0758,-118.2552,
57,14100 SYLVAN ST,34.1847,-118.44,
58,12100 SANTA MONICA BL,34.0423,-118.4656,
